Timestamp,WereYouEligibleToApplyForAnAugust2021St3Post,WhatIsYourAge,WhatIsYourSex,WhichRegionAreYouCurrentlyWorkingIn,WhatIsYourCurrentRole,HowManyYearsOfClinicalExperienceInAnaesthesiaWouldYouHaveCompletedByAugust2021,WhatIsYourCurrentContractedWorkingPattern,DidYouApplyForAnSt3AnaestheticsPostToCommenceInAugust2021,WereYouSuccessfulWithYourSt3ApplicationInThisApplicationRound,HaveYouAcceptedAnSt3AnaestheticsPostToCommenceInAugust2021,IfNotPleaseTellUsWhy,WhatWasYourReasonForNotApplying,AtTheTimeOfSt3ApplicationWereYouAwareOfThePlannedBreakInRecruitmentFromAugust2022,DidYouFeelTheEffectsOfCurriculumChangesOnRecruitmentWereWellExplainedToYouPriorToTheSt3ApplicationDeadline,WouldMoreInformationRegardingChangesToTheCurriculumAndRecruitmentHaveChangedYourDecisionNotToApply,WhatAreYourPotentialPlansForTheUpcoming1_2YearsSelectAllThatApply,DoYouFeelConfidentOrAssuredThatYouWillBeAbleToAchieveTheNecessaryCompetenciesToApplyForSt4InAugust2023,HasTheTimeOutOfATrainingProgrammeAffectedAnyOfYourWiderLifePlansEGMovingLocationFamilyPlanningBuyingAHouse,HowConfidentAreYouThatYouWillBeAbleToAchieveGmcRegistrationOnTheSpecialtyRegisterInAnaesthesiaWithoutATrainingNumber,WhatGeneralConcernsWouldYouLikeToShareWithUsRegardingThisYearsSt3ApplicationsIfThereAreSpecificPersonalCircumstancesYouAreHappyToShareWithTheRelevantStakeholdersPleaseFeelFreeToContributeThemHereWeMayPublishSomeOfTheseAsAnonymisedQuotesToConveyTheDepthOfFeelingAroundThisIssue,ID
2021-05-21T10:41:39Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,It has been example of poor communication fro start to finish.  A poorly thought through plan pushed through in a time of extreme pressure on services with little or no regard to the trainees involved.  Shame on HEE and RCOA for not looking after the future workforce.,384
2021-05-21T10:43:57Z,Yes,31-35,Female,"Health Education Kent, Surrey & Sussex",Anaesthetic Core Trainee,3,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Further education, e.g. pursue a higher degree",No,Yes,Not confident,NA,385
2021-05-21T10:54:35Z,Yes,25-30,Male,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Don't know,Yes,Not confident,"This year's application has knocked my confidence and has caused me to question my desire to remain in the profession. I feel deeply uncertain about the future and it seems that my hard work over the last 3 years of core training has, in the event, amounted to very little.",386
2021-05-21T11:02:52Z,Yes,25-30,Male,"Health Education Kent, Surrey & Sussex",Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,The job i accepted wasn't the ideal location for me but felt like I couldn't not accept a training post given the competition and the time I'd need to take out of training to reapply,387
2021-05-21T11:07:43Z,Yes,31-35,Female,Health Education Thames Valley,"Non-training Fellow, SAS or other Trust-Grade post",3.5,Full-time,Yes,Yes,No,Couldn’t move regions,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Pursue training in a different specialty - specify below",Don't know,Yes,Not confident,Uncertainty regarding jobs has an effect on family planning,388
2021-05-21T11:12:17Z,Yes,25-30,Male,Health Education London,Anaesthetic Core Trainee,3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poor, reactive comms from RCoA/HEE about changes to applications, including dates/curriculum changes/job availability etc. Online portfolio system was inadequate and explanation video provided by College contradictory. Seemingly little consideration of effects of all these last-minute changes on trainees.",389
2021-05-21T11:23:42Z,Yes,31-35,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Imperial CESR programme,No,Yes,Confident,The portfolio points scoring wasn't transparent and completely unfair - they didn't stick to the published mark schemes (e.g. I was marked down for not providing a CV when the mark scheme clearly said not too - and my comments on this were ignored on appeal). The questions asked at interview were the exact same during the entire interview period which grossly disadvantaged those interviewed in the first week. Very difficult interview where the interviewers seemingly had a checklist of questions to get through - zero back & forth communication so no opportunity to build a rapport or display who we really are as people.,390
2021-05-21T11:31:11Z,Yes,31-35,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Don't know,Yes,Not confident,"I think there has been very little understanding or conversation with anaesthetic trainees who have completed core training, and are now put in a position like this due to curriculum changes. The timing of these changes could not be at a worse time, and has been a real disappointment for candidates like myself. The application process is also flawed with regards to identifying those who would make good trainees, and I believe there should be an overhaul of the application system. With regards to my interview, I was unable to see the interviewers throughout the interview, and when I informed recruitment of this, I was told it made no difference to my interview because the interviewers were not aware (zero consideration for how it may have affected my performance)! Finally, the communication with trainees has been abysmal, with most communication coming via Twitter - how is this appropriate!?",392
2021-05-21T11:41:46Z,Yes,31-35,Female,Health Education London,Anaesthetic Core Trainee,2,Full-time,No,NA,NA,NA,"Lack of core experience due to the COVID-19 pandemic, Didn’t realise there would be a freeze on recruitment and felt I needed more Obstetric and Paediatric experience before becoming a registrar.",No,No,Yes,"Non-training fellow post, Work abroad, Permanently leaving the medical profession",No,Yes,Not confident,NA,394
2021-05-21T12:10:24Z,Yes,31-35,Male,Health Education London,Intensive Care Medicine Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Work abroad",No,Yes,Not confident,"Having such a bottleneck at ST3 level is ridiculous. We are specialists on a pathway that we can't turn away from without starting again. I accept that HEE make political decisions regarding numbers of jobs they'll fund, but the college should have not pushed ahead with the curriculum change during a global pandemic.",395
2021-05-21T12:20:06Z,Yes,31-35,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",6,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, ICM ST3 post, Further education, e.g. pursue a higher degree",No,Yes,Not confident,NA,396
2021-05-21T12:20:51Z,Yes,31-35,Male,Health Education Yorkshire and the Humber,"Non-training Fellow, SAS or other Trust-Grade post",8,Full-time,No,NA,NA,NA,Lack of core experience due to the COVID-19 pandemic,No,No,Yes,Work abroad,No,Yes,Not confident,"The anaesthetists in the UK have been working hard during the time of COVID, and after that what happened that there is a plan of curriculum change that will stop training recruitment for 1.5 years and it will make training application for ST4 more difficult for the overseas doctors and that's not the thank you that I expected after working hard for the NHS during COVID time",397
2021-05-21T12:37:54Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Further education, e.g. pursue a higher degree, Career break, Permanently leaving the medical profession",Yes,No,Not sure,"Feb 22 intake will be even more competitive. There were ~550 CT1 posts this recruitment round leaving a 200 job deficit at ST3 level for 3 years' time, representing a waste of training resources and a waste of trainees' time. There is a shortage of registars to staff middle grade rotas which post-CT2 anaesthetists will largely fill in fellow posts, so the NHS pays at least as much and probably more when the likley increase in locum shifts is factored in. In addition there is a shortage of consultant anaesthetists. Why then is NHS England not funding more anaesthetics registrars and instead choosing to exacerbate the problem?",398
2021-05-21T12:51:13Z,Yes,36-40,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",13,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Not sure,NA,399
2021-05-21T12:52:07Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST3 recruitment has been grossly unfair on all anaesthetists in training, who have worked hard during the pandemic. It is particularly difficult for foreign nationals- for whom getting a job/training path is vital for ongoing visa applications. It's embarrassing and a blemish on the reputation of our specialty.",400
2021-05-21T12:59:35Z,Yes,31-35,Male,Health Education London,Anaesthetic Core Trainee,2.5,Full-time,No,NA,NA,NA,Plan to move to different geographical location for registrar training but tied to London for 1 further year owing to wife’s maternity leave and subsequent return to work. Therefore made decision not to apply in August 2021,No,No,Not sure,CT3 top-up post,Yes,No,Not confident,In general - given everything that has happened with the pandemic over the last year I feel incredibly let down by the whole situation. If unsuccessful in applications for CT3 top up jobs which have now also become extremely competitive I may consider my future in medicine and look at alternate careers where I feel more valued.,402
2021-05-21T13:08:05Z,Yes,31-35,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",5,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Work abroad",Don't know,Yes,Not confident,"- frustrated that goal posts were moved regarding eligibility to apply without full primary FRCA
- with retrospect I would certainly have got a job if I had omitted the VIVA/SOE and associated revision and focussed on audit loops instead to gain points
- no clear back up plan for this disruptive change in curriculum
- why is there such a mismatch and bottle neck regarding CT and ST anaesthetics posts
- why is it not a run through training program 
- unclear why there is no 2022 intake
- i will have had 5 years out of training by 2023. Concerned this will count against me.",403
2021-05-21T13:08:31Z,Yes,25-30,Female,Health Education North West (Mersey & North Western),Intensive Care Medicine Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"ICM ST3 post, Pursue training in a different specialty - specify below, Intensive care training. I would like to dual train with anaesthetics",No,Don't know,Not confident,"I am an intensive care trainee that has been working full time throughout the pandemic. It has been made exceptionally hard to dual train. I have limited time to develop my cv with certain aspects that are specifically suggest on the self-assessment as I am working towards experience and exams in intensive care. 
I was heavily marked down in the self assessment process in areas were I had gained letters of evidence by experienced consultants. I feel particularly disappointed and let down by this process.",404
2021-05-21T13:10:24Z,Yes,31-35,Female,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405
2021-05-21T13:44:12Z,Yes,31-35,Male,Health Education North East,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Don't know,No,Not sure,Increasingly high standards will require more time and effort to build a competitive CV/portfolio,406
2021-05-21T13:44:33Z,Yes,25-30,Female,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Don't know,Yes,Not confident,Extremely competitive application process with apparently very little to discriminate between top scoring candidates and those who did not receive a job. Stressful process which exacerbated feelings of burnout leftover from pandemic,407
2021-05-21T13:45:55Z,Yes,25-30,Male,Health Education South West (Peninsula & Severn),"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Pursue training in a different specialty - specify below, Considering change to GP if unsuccessful in next 1-2 rounds",No,Yes,Not confident,"Tied to region due to wife's career but lack a reason accepted for pre-allocation. Region is ultra competitive and even though I score in the top 8% of candidates, this is not enough to secure role. This has been my 3rd unsuccessful round now and thus I'm considering other career pathways as a result.",408
2021-05-21T13:46:18Z,Yes,31-35,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The questions at interview seemed very generic, with little way of really showing your individual strengths and weaknesses. My guess is that scores at interview were very similar, with a very narrow bell curve. If this is indeed the case, then it is not acting as a good discriminator for the role.",409
2021-05-21T14:04:21Z,Yes,31-35,Male,Outside UK,"Non-training Fellow, SAS or other Trust-Grade post",6,Full-time,No,NA,NA,NA,"Awareness of increased competition ratios and/or reduced CV opportunities during COVID, International work",No,No,No,"Work abroad, Career break, Permanently leaving the medical profession",No,Yes,Not confident,NA,410
2021-05-21T14:15:21Z,Yes,25-30,Male,NHS Education for Scotland,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411
2021-05-21T14:33:55Z,Yes,31-35,Male,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Work abroad,Don't know,Yes,Not confident,"Lack of employment security, difference between SAS and AS jobs life versus a non training junior doctor.  We work long hours, antisocial, for ST3 pay without the promised land of consultancy.  The pace of full time training is OK for short periods but for me is imcompatible with starting new aspects of my life: having children or buying a house.  

This has cemented my plan to undergo the NZ Anaeshesia training programme which is just five years long (with upto two years recognised prior learning)",412
2021-05-21T14:51:47Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This shows a complete lack of advance planning by DoH / HEE / NES and a complete lack of engagement by RCOA/AAGBI. CT1 should not be allowed to have admission significantkly greater than ST3 is predicted to 2 years later. .,413
2021-05-21T15:23:42Z,Yes,25-30,Female,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,6,Full-time,No,NA,NA,NA,"Wanted to take a break from training, Wanted to pursue other interests or opportunities, e.g. research or management, etc.",Yes,No,No,"CT3 top-up post, Work abroad, Career break, Permanently leaving the medical profession",No,Yes,Not confident,High competition for trust grade /ct3 top up posts. Concerned I will not be able to get a job in anaesthetics from august.,414
2021-05-21T15:43:34Z,Yes,31-35,Female,Health Education West Midlands,"Non-training Fellow, SAS or other Trust-Grade post",4.5,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415
2021-05-21T16:04:21Z,Yes,31-35,Male,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Non-training fellow post, Further education, e.g. pursue a higher degree, Permanently leaving the medical profession",No,Yes,Not confident,"The design of training appears to be absolutely absurd. In Mersey alone >20 trainees enter core training every 6 months. 10 or less ST3 posts every round, and there is ""surprise"" that there is a shortage of registrar training posts each year.
I have universally positive feedback clinically and professionally, have an adequate amount of CPD/Audit etc and have passed all of the exams, yet was deemed no suitable for interview on this round. I have completely lost faith in the training programme and am really disappointed.
There is no guidance for any trainees from the deaneries, except a 6 monthly letter absolving themselves of blame and offering no long term solution.

I would like to hear what the proposed plan for the 400+ trainees stuck in the middle of the two training programmes would be given the planned break for entry into higher training.",416
2021-05-21T16:19:58Z,Yes,25-30,Female,NHS Education for Scotland,Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417
2021-05-21T16:22:38Z,Yes,25-30,Male,"Health Education Kent, Surrey & Sussex",Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Yes,Yes,Not confident,"I feel the portfolio scoring as a whole was disadvantaging trainees that have opted for Anaesthesia as their primary speciality, and have not transitioned into it from other specialties. Moreover, trainees on an ACCS pathway receive an extra 2 points for their year in medicine, which I feel disadvantages those that are on a pure core anaesthetic training pathway. Those 2 points can be a large discriminatory factor between getting a job and not getting a job",418
2021-05-21T16:26:36Z,Yes,25-30,Female,Health Education East of England,"Not currently in contracted employment, or currently a locum",2.5,"Not currently contracted, or working as a locum",Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419
2021-05-21T16:50:05Z,Yes,25-30,Female,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,"Lack of core experience due to the COVID-19 pandemic, Awareness of increased competition ratios and/or reduced CV opportunities during COVID, Wanted to take a break from training",No,No,No,"CT3 top-up post, Non-training fellow post, Career break",Don't know,Yes,Not sure,"Overall I felt there was a general lack of consideration to the fact that most of had worked tirelessly on non-compliant rotas due to the fact there was a global pandemic. Then to just carry on as if nothing had happened and find out the number of jobs were slashed in a time where nobody was able to be competitive with their CVs due to not physically having any time between covid and doing the primary felt like we were massively unappreciated. And by wanting to take a career break in order to move deanery and pursue other goals I felt there was minimal information about how the changes to the curriculum would affect me including how to access top up posts, and the announcement for the Aug 2023 ST4 application date came after the deadline to apply for ST3. This should have been a time of assurance and appreciation rather than uncertainty and more stress.",420
2021-05-21T17:02:33Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The career uncertainty - and the stress that engenders - that this excess of applicants/shortage of jobs has caused will have long term implications for future recruitment and retention to anaesthesia. It obviously impacts those immediately affected, many of whom have been redeployed into new and stressful work roles during the covid pandemic, and many of whom will likely leave anaesthesia for good, but it also impacts those considering training in anaesthesia who may now quite reasonably hesitate to join a training pathway that has - until now - generally enjoyed a good reputation for looking after its trainees and the quality of its training programme.
This can only do further long term damage to a specialty facing already well publicised workforce shortages in the near future",421
2021-05-21T17:41:02Z,Yes,31-35,Female,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",11,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Not confident,I was released from training in 2019 after ST4 as I didn't have my final FRCA. With the change in curriculum I am worried that I will struggle to get back into training due to the change of intermediate trading from ST3&4 to ST4&5,422
2021-05-21T18:37:32Z,Yes,31-35,Male,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",5,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, ICM ST3 post, Pursue training in a different specialty - specify below, Possibly switch to A+E",No,Yes,Not confident,I have lost faith in health education England and feel demotivated about the future.,423
2021-05-21T18:53:44Z,Yes,36-40,Male,Health Education East Midlands,"Non-training Fellow, SAS or other Trust-Grade post",11,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Not confident,Massively dissapointed regarding the training posts available even though UK need more and more anaesthetist in future.,424
2021-05-21T19:20:53Z,Yes,31-35,Female,NHS Education for Scotland,"Non-training Fellow, SAS or other Trust-Grade post",7,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This recruitment process has been extremely difficult and exhausting. Firstly, the way that we are scored does not reflect the atttributes of what makes a good anaesthetist. Candidates that are good at tick boxing exercises, participating in research and doing MRCP  are getting the jobs/jobs in highly competitive regions, rather than it being about the non-technical skills that are important. Most people in the interview perform 'avergagely', so the portfolio then massively has a swing on who gets jobs or not. After the interviews, I realised that some people were interviewed by Consultants that knew them, which brings out a massive element of bias into the process. Finally, in Scotland, there were five new jobs recycled from ICU numbers at last minute, but for some reason they weren't recycled till after the upgrade deadline. This meant that people with significantly lower rankings got their first choice job (if they only put one region) in highly competitive regions. This completely undermines the whole interview process and it is extremely disheartening to hear of this, especially when these jobs were requested to be recycled on the 5th May (and weren't till 17th May). This is trainee's lives we are talking about. Their wellbeing. The places they want to live for a significant period of their life. The recruitment process does not sympathise with this at all.",425
2021-05-21T20:08:01Z,Yes,36-40,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",9,"Not currently contracted, or working as a locum",Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,No,Don't know,Not confident,"Thought I would be more useful as a consultant, I was in my home country.",426
2021-05-21T20:14:57Z,Yes,25-30,Male,Health Education South West (Peninsula & Severn),"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In my opinion, the interview did not give an opportunity to demonstrate our strengths for the role. There were 13+ questions over a 30 minute interview, none of which were on clinical management and there was no way for the interview panel to verify the information. 

After being disappointed with my interview score, I requested further feedback. One examiner stated that I had unstructured answers, whereas the other interviewer stated I had well structured answers. However, the second interviewer marked me down on the basis that it was not possible to see my entire face on the video screen. However, this had been checked by the administrator before starting the interview, was not mentioned at any time during the interview, and appeared completely normally on my screen. Given the impact to my family as a result of being marked down, I was extremely disappointed by this feedback.",427
2021-05-21T20:47:10Z,Yes,36-40,Male,Health Education East Midlands,"Non-training Fellow, SAS or other Trust-Grade post",14,Full-time,No,NA,NA,NA,Awareness of increased competition ratios and/or reduced CV opportunities during COVID,Yes,No,Not sure,Continue as a SAS doctor,Don't know,Yes,Not confident,NA,428
2021-05-21T21:07:46Z,Yes,36-40,Female,Health Education Yorkshire and the Humber,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Although I did get a post this year I had to go above and beyond to score highly on both portfolio and interview, at a time when everything has been made more difficult (FRCA Primary, online portfolios etc) as well as a massive toll taken on myself and my family from working ICU through the Covid surges and lack of decompression options (family, holidays, friends, eating out etc).",429
2021-05-21T21:19:49Z,Yes,25-30,Male,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Pursue training in a different specialty - specify below, Work abroad, Permanently leaving the medical profession, I am embarrassed to be a member of the RCOA, the handling of this has turned a profession I love into a joke. I will move abroad to pursue training in another country or if I return to the UK I will not have anything to do with the RCOA. Their handling of this curriculum change has been shortsighted beyond words.",Yes,Yes,Not confident,"Appeal process was a joke, additional evidence wasn't considered and deemed 'too late' - it was lip service rather than a genuine attempt to gather evidence. That people could apply without the full Primary FRCA means next year there will be people unable to progress as they can't pass the OSCE/VIVA, they will lose the best anaesthetic trainees who are most driven, as they will not content themselves with 2 to 3 years of middle grade work.",430
2021-05-21T21:36:06Z,Yes,36-40,Male,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",13,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Not sure,NA,431
2021-05-22T00:17:14Z,Yes,31-35,Female,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have been very disappointed with the recruitment process. This is a hugely important process which will determine where we are to live for the next 5 years and affects not only us but our families. I understand it being a competitive process but this recruitment process does not seem to reward the best candidates. The goal posts have changed from what we had expected from before covid 19 hit and now there is far more weight on the self assessment score which previously was only used to get an interview. I lost points for not uploading my CV as proof that I did a 6 year course, for my teaching program being for medical students and my national presentation being a poster. These details were not stated on the self assessment matrix and I feel if I had had am in person portfolio station i would not have lost points. I would have had my CV and all my presentations and teaching experience. I feel I was disadvantaged massively by having a remote portfolio - is this really how we should be assessing our anaesthetic registrars? This recruitment process is not fit for purpose and is not a way of picking the best candidates. More emphasis on the interview, as has always previously been the case, is key to getting to know a candidate and assessing who is the best for the job.",432
2021-05-22T00:45:10Z,Yes,31-35,Male,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Not confident,Interview process was treated as a VIVA station rather than a conversation/discussion between adult healthcare professionals. Also allowing applicants without the full primary FRCA reduced the chances of many in getting jobs.,433
2021-05-22T01:11:30Z,Yes,25-30,Male,Health Education Thames Valley,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,"The backlog of applications will still be there in 2 years time, or potentially even worse. It's all very well describing a work force gap, but short of producing more trainees, theres not a huge number of solutions.",434
2021-05-22T06:25:51Z,Yes,31-35,Female,"Health Education Kent, Surrey & Sussex",Anaesthetic Core Trainee,4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Pursue training in a different specialty - specify below, Career break, Permanently leaving the medical profession, GP",No,Yes,Not confident,"I am concerned that once again this will have adversely affected female and LTFT trainees. The male bias in the previous round of recruiting (self-scoring without checks) still needs to be addressed.

I am not confident in any way that I will be able to achieve what is required to get a post in training and am considering leaving the profession. The uncertainty around training and the lack of initial support from the college has been sickening. Too little too late. The future of the profession will not forget this betrayal.",435
2021-05-22T08:31:59Z,Yes,31-35,Female,Health Education Wessex,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,Yes,Not confident,NA,436
2021-05-22T09:16:45Z,Yes,31-35,Female,Health Education South West (Peninsula & Severn),"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Don't know,Yes,Not confident,"With regards to the online portfolio verification process, I didn't feel that I was treated as a person, but as a number. I am concerned about the subjectivity of the process, and subsequent discrepancies in scores that I and many colleagues experienced. I am also concerned that I raised an appeal and didn't feel that it was given due attention, it felt as if there had been an automatic response of just agreeing with the original assessor. I was happy with how the interview was conducted, but felt that I never really stood a chance due to my portfolio being under scored. The whole process has left me feeling frustrated and under appreciated.",437
2021-05-22T11:46:48Z,Yes,31-35,Male,NHS Education for Scotland,"Non-training Fellow, SAS or other Trust-Grade post",6,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Work abroad, Career break",No,Yes,Not confident,Provide more training slot.,438
2021-05-22T12:09:37Z,Yes,31-35,Prefer not to say,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",5,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extremely drawn-out process starting in November 2020, spanning 2nd wave of COVID. Constant rumours circulating that there would not be enough posts (correct) and that competition would be unreasonably tough (also correct). Addressed with tone-deaf platitudes by RCoA, who should/could have seen this coming a mile off (all the trainees did). Unbelievably disrespectful to the hundreds of deserving trainees who have given their physical, mental, and emotional health over the past 18 months. I was one of the lucky ones to get a post and will be selling my house and moving my family to facilitate it as I don't want to have to wait two years to go through this again. Already feeling survivor guilt as there were many far more deserving of appointment than me.",439
2021-05-22T12:23:24Z,Yes,25-30,Female,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,No,Not confident,"Lack of career progression, lack of recognition for gaining FRCA exam in self score.",440
2021-05-22T13:14:57Z,Yes,31-35,Male,Health Education and Improvement Wales,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441
2021-05-22T14:25:04Z,Yes,25-30,Male,Health Education Yorkshire and the Humber,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,442
2021-05-22T14:29:50Z,Yes,31-35,Female,Health Education London,Intensive Care Medicine Trainee,3,Full-time,No,NA,NA,NA,Awareness of increased competition ratios and/or reduced CV opportunities during COVID,No,No,Yes,ICM ST3 post,No,Yes,Not confident,NA,443
2021-05-22T15:35:54Z,Yes,31-35,Male,Health Education East of England,Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient number of training places
Having to move to continue with training",444
2021-05-22T15:40:09Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445
2021-05-22T17:22:21Z,Yes,36-40,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",6,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Yes,Yes,Not confident,NA,447
